id,name
1,Adama Chmielowskiego
2,Augustiańska
3,[Księdza] Augustyna Kordeckiego
4,Bartosza
5,Berka Joselewicza
6,Bocheńska
7,Bonifraterska
8,Bożego Ciała
9,Brzozowa
10,Ciemna
11,Dajwór
12,Elizy Orzeszkowej
13,Estery
14,Gazowa
15,Hieronima Wietora
16,Izaaka
17,Jakuba
18,Józefa
19,Krakowska
20,Kupa
21,Lewkowa
22,[Beera] Meiselsa
23,Miodowa
24,Mostowa
25,Na Przejściu
26,Nowa
27,Paulińska
28,Piekarska
29,Plac Nowy
30,Podbrzezie
31,Podgórska
32,Rybaki
33,Skawińska
34,Skałeczna
35,Starowiślna
36,Szeroka
37,Trynitarska
38,Warszauera
39,Wąska
40,plac Wolnica
41,Świętego Sebastiana
42,Świętego Stanisława
43,Świętego Wawrzyńca
